branch_name,address,phone,manager_name,product_name,category,sub_category,supplier_name,supplier_phone,supplier_address,supply_price,lead_time_days
Branch West Heatherberg,"USNV Powers, FPO AE 59901",+1-479-208-6959x866,Samantha Bennett,SilkElegance Dress,Clothing,Women,Johnson PLC,620.442.4885x3163,"6154 Cantrell Forks, Hillfurt, UT 52806",72.77,20
Branch West Heatherberg,"USNV Powers, FPO AE 59901",+1-479-208-6959x866,Samantha Bennett,SilkElegance Dress,Clothing,Women,Donaldson-Rios,363.370.3551x61208,"131 Patrick Brooks, Jackieshire, MD 49551",66.02,17
Branch West Heatherberg,"USNV Powers, FPO AE 59901",+1-479-208-6959x866,Samantha Bennett,SpinMaster DartBoard,Sports,Indoor,Johnson PLC,620.442.4885x3163,"6154 Cantrell Forks, Hillfurt, UT 52806",63.58,25
Branch West Heatherberg,"USNV Powers, FPO AE 59901",+1-479-208-6959x866,Samantha Bennett,SpinMaster DartBoard,Sports,Indoor,Solis-Owen,001-798-415-2073x0856,"8017 Robert Station, Anitamouth, KY 18679",86.47,15
Branch West Heatherberg,"USNV Powers, FPO AE 59901",+1-479-208-6959x866,Samantha Bennett,SilentStep Board,Sports,Indoor,Henry-Berry,+1-965-275-9376x7082,"PSC 2117, Box 1711, APO AE 82962",85.57,12
Branch West Heatherberg,"USNV Powers, FPO AE 59901",+1-479-208-6959x866,Samantha Bennett,SilentStep Board,Sports,Indoor,Watkins Group,001-452-634-1600x4653,"0047 Alex Field, Port Shawn, OH 76951",68.34,23
Branch West Heatherberg,"USNV Powers, FPO AE 59901",+1-479-208-6959x866,Samantha Bennett,SilentStep Board,Sports,Indoor,Donaldson-Rios,363.370.3551x61208,"131 Patrick Brooks, Jackieshire, MD 49551",50.91,12
Branch West Heatherberg,"USNV Powers, FPO AE 59901",+1-479-208-6959x866,Samantha Bennett,CampPro Poncho,Sports,Outdoor,Collins-Smith,(205)611-0419x349,"13599 Gonzalez Greens, Bradland, NM 92568",56.27,21
Branch West Heatherberg,"USNV Powers, FPO AE 59901",+1-479-208-6959x866,Samantha Bennett,CampPro Poncho,Sports,Outdoor,Johnson PLC,620.442.4885x3163,"6154 Cantrell Forks, Hillfurt, UT 52806",55.08,26
Branch West Heatherberg,"USNV Powers, FPO AE 59901",+1-479-208-6959x866,Samantha Bennett,CampPro Poncho,Sports,Outdoor,"Simmons, Bailey and Terrell",814.707.1357,"4359 Harrison Corners, East Cliffordport, ID 56833",55.36,18
Branch West Heatherberg,"USNV Powers, FPO AE 59901",+1-479-208-6959x866,Samantha Bennett,MacBook Prime,Electronics,Laptops,"Simmons, Bailey and Terrell",814.707.1357,"4359 Harrison Corners, East Cliffordport, ID 56833",61.23,1
